FROMDATE,TODATE,DAYPART,CHANNEL,PIVOT_SEQ,PIVOT_HDR1,PIVOT_DATA1
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,38,DayPart 10:Star Plus,2435
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,39,DayPart 10:SONY ENTERTAINMENT TV,1243
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,40,DayPart 10:Colors Viacom18,1664
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,41,DayPart 11:Z Zee TV,55
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,42,DayPart 11:Star Plus,22
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,43,DayPart 11:SONY ENTERTAINMENT TV,16
9/7/2014,9/13/2014,DayPart 1,Colors Viacom18,44,DayPart 11:Colors Viacom18,7
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,1,DayPart 1:Z Zee TV,12032
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,2,DayPart 1:Star Plus,11835
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,3,DayPart 1:SONY ENTERTAINMENT TV,2293
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,4,DayPart 1:Colors Viacom18,6112
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,5,DayPart 2:Z Zee TV,25154
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,6,DayPart 2:Star Plus,11843
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,7,DayPart 2:SONY ENTERTAINMENT TV,2730
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,8,DayPart 2:Colors Viacom18,8739
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,9,DayPart 3:Z Zee TV,19113
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,10,DayPart 3:Star Plus,8223
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,11,DayPart 3:SONY ENTERTAINMENT TV,3714
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,12,DayPart 3:Colors Viacom18,7747
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,13,DayPart 4:Z Zee TV,18351
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,14,DayPart 4:Star Plus,7489
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,15,DayPart 4:SONY ENTERTAINMENT TV,5001
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,16,DayPart 4:Colors Viacom18,5881
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,17,DayPart 5:Z Zee TV,15494
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,18,DayPart 5:Star Plus,9142
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,19,DayPart 5:SONY ENTERTAINMENT TV,6057
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,20,DayPart 5:Colors Viacom18,5579
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,21,DayPart 6:Z Zee TV,13431
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,22,DayPart 6:Star Plus,7806
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,23,DayPart 6:SONY ENTERTAINMENT TV,3921
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,24,DayPart 6:Colors Viacom18,4509
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,25,DayPart 7:Z Zee TV,9547
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,26,DayPart 7:Star Plus,6261
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,27,DayPart 7:SONY ENTERTAINMENT TV,3647
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,28,DayPart 7:Colors Viacom18,4191
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,29,DayPart 8:Z Zee TV,7990
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,30,DayPart 8:Star Plus,4893
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,31,DayPart 8:SONY ENTERTAINMENT TV,2998
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,32,DayPart 8:Colors Viacom18,3703
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,33,DayPart 9:Z Zee TV,4839
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,34,DayPart 9:Star Plus,5169
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,35,DayPart 9:SONY ENTERTAINMENT TV,2361
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,36,DayPart 9:Colors Viacom18,2247
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,37,DayPart 10:Z Zee TV,2930
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,38,DayPart 10:Star Plus,3560
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,39,DayPart 10:SONY ENTERTAINMENT TV,1242
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,40,DayPart 10:Colors Viacom18,1302
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,41,DayPart 11:Z Zee TV,28
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,42,DayPart 11:Star Plus,34
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,43,DayPart 11:SONY ENTERTAINMENT TV,5
9/7/2014,9/13/2014,DayPart 2,Z Zee TV,44,DayPart 11:Colors Viacom18,0
