NUM_MARKET_KEY,CHV_MARKET_NAME,NUM_START_DATE_KEY,NUM_END_DATE_KEY,NUM_WEEK,NUM_V_CS_4,TVR_NUM_V_CS_4,NUM_V_M_CS_4_14,TVR_NUM_V_M_CS_4_14,NUM_V_F_CS_4_14,TVR_NUM_V_F_CS_4_14,NUM_V_M_CS_15_24,TVR_NUM_V_M_CS_15_24,NUM_V_F_CS_15_24,TVR_NUM_V_F_CS_15_24,NUM_V_M_CS_25_34,TVR_NUM_V_M_CS_25_34,NUM_V_F_CS_25_34,TVR_NUM_V_F_CS_25_34,NUM_V_M_CS_35_44,TVR_NUM_V_M_CS_35_44,NUM_V_F_CS_35_44,TVR_NUM_V_F_CS_35_44,NUM_V_M_CS_45_54,TVR_NUM_V_M_CS_45_54,NUM_V_F_CS_45_54,TVR_NUM_V_F_CS_45_54,NUM_V_M_CS_55,TVR_NUM_V_M_CS_55,NUM_V_F_CS_55,TVR_NUM_V_F_CS_55,NUM_V_CS_ANALOG,TVR_NUM_V_CS_ANALOG,NUM_V_CS_DIGITAL,TVR_NUM_V_CS_DIGITAL,NUM_V_S_SEC_A,TVR_NUM_V_CS_SEC_A,NUM_V_S_SEC_B,TVR_NUM_V_CS_SEC_B,NUM_V_S_SEC_C,TVR_NUM_V_CS_SEC_C,NUM_V_S_SEC_DE,TVR_NUM_V_CS_SEC_DE
3, *Chennai ,20141221,20141227,52,1217,5279.00852,133,5276.033057,74,3619.213973,136,5719.148936,119,5010.526315,107,4656.994818,118,5258.355437,68,4966.956521,79,5872.566371,60,4602.739726,95,6720,123,5878.80512,105,6277.580071,681,5117.781256,536,5499.114503,234,4719.327731,303,5220.923076,337,5727.465857,343,5352.902926
4, *Delhi ,20141221,20141227,52,2170,3880.155393,303,3672.727272,272,3801.663893,257,3604.006677,231,4283.443708,210,3433.576642,195,3930.413917,120,3858.373205,136,4157.961783,121,3726.489459,98,4461.788617,128,4480,99,4429.294274,0,0,2170,3880.155393,658,3876.696475,571,3934.700574,341,3726.04878,601,3931.010317
5, *Hyderabad ,20141221,20141227,52,1189,5579.664804,127,3929.281767,143,4953.402061,134,5110.556186,137,5704.089219,101,5057.52608,135,6670.588235,75,5971.563981,118,8508.154506,77,6826.385224,52,6905.928853,48,5678.873239,42,5406.896551,197,4885.01845,992,5741.808785,184,5014.111922,238,5765.53713,346,5812.8,421,5571.327294
6, *Mumbai ,20141221,20141227,52,2288,3977.483443,273,3901.658868,226,3654.282964,276,3751.45631,231,4202.273957,227,3611.363636,231,4238.995084,152,3825.617977,160,4575.319148,144,3962.653562,135,4619.144602,115,3848.605577,116,4236.521739,123,3603.138622,2165,4001.100049,367,4016.677524,536,3903.250975,620,4168.067226,765,3867.589527
8, APRest 1 Mn.+ ,20141221,20141227,52,453,5618.604651,0,0,0,0,40,4480,54,6344.055944,0,0,56,7020.895522,45,5342.756183,57,7423.255813,0,0,0,0,0,0,0,0,155,5430.656934,298,5721.6,67,4093.090909,79,6201.869158,122,6517.011128,186,5671.143375
9, Assam .5Mn.+ ,20141221,20141227,52,108,3764.315352,0,0,0,0,15,3500,0,0,0,0,0,0,0,0,6,3416.949152,0,0,0,0,0,0,0,0,58,3726.195028,50,3809.523809,24,3648.868778,33,3380.487804,24,3821.800947,27,4425.365853
10, Bihar 1Mn.+ ,20141221,20141227,52,187,3168.532526,19,2240,21,3136,26,3076.056338,0,0,0,0,20,3796.610169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,3168.532526,46,3213.305613,62,3579.381443,27,2870.886075,52,2887.933884
11, Chattisgarh .1 to 1Mn. ,20141221,20141227,52,329,3428.784119,44,3344.79638,31,2657.142857,36,3217.021276,49,4055.172413,0,0,0,0,0,0,38,4132.038834,0,0,0,0,0,0,0,0,180,3341.436464,148,3516.831683,52,3200,68,2963.424124,82,3611.009174,127,3730.06993
12, Guj .1 to 1 Mn. ,20141221,20141227,52,489,3208.435852,67,3416.084977,58,3325.597269,42,2412.307692,48,3325.360824,36,2736.651583,43,3832.360742,34,3227.118644,38,3248.854961,28,2703.448275,34,4065.480427,34,3472.340425,25,2978.723404,312,3247.583643,176,3123.930269,35,2496.815286,111,3318.149466,115,3116.129032,228,3351.181102
13, Guj 1 Mn.+ (Including Ahmedabad) ,20141221,20141227,52,1251,3559.153259,196,3873.882352,131,3834.146341,149,3270.019595,146,3921.342925,114,3229.679595,102,3406.759443,72,3506.086956,82,3924.786324,74,3143.362831,64,4019.439252,73,3373.865199,49,3037.638376,0,0,1251,3559.153259,180,3306.724986,267,3361.258898,308,3873.053892,495,3584.482758
