RCLNT,RYEAR,DOCNR,RLDNR,RBUKRS,DOCLN,ACTIV,RMVCT,RTCUR,RUNIT,AWTYP,RRCTY,RVERS,LOGSYS,RACCT,COST_ELEM,RCNTR,PRCTR,RFAREA,RBUSA,KOKRS,SEGMENT,ZZZONE,SCNTR,PPRCTR,SFAREA,SBUSA,RASSC,PSEGMENT,TSL,HSL,KSL,OSL,MSL,WSL,DRCRK,POPER,RWCUR,GJAHR,BUDAT,BELNR,BUZEI,BSCHL,BSTAT,LINETYPE,XSPLITMOD,USNAM,KUNNR
300,2014,200000957,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,-2491,-2491,-154355.05,0,0,-2491,H,9,USD,2014,00:00.0,200000957,2,17,,2000,X,20100028,1302187
300,2014,200000958,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-1844.13,-1844.13,-117747.7,0,0,-1844.13,H,9,USD,2014,00:00.0,200000958,1,17,,2000,X,20100028,1700103
300,2014,200000958,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,1146.86,1146.86,70818.61,0,0,1146.86,S,9,USD,2014,00:00.0,200000958,3,7,,2000,X,20100028,1700103
300,2014,200000958,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,-3614.73,-3614.73,-218510.43,0,0,-3614.73,H,9,USD,2014,00:00.0,200000958,4,17,,2000,X,20100028,1700103
300,2014,200000959,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-15000,-15000,-923250,0,0,-15000,H,9,USD,2014,00:00.0,200000959,3,17,,2000,X,20100028,1700515
300,2014,200000960,0L,2000,3,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,-93408.74,-93408.74,-5776278.81,0,0,-93408.74,H,9,USD,2014,00:00.0,200000960,3,17,,2000,X,20100028,1700104
300,2014,200000960,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,-34184,-34184,-1562208.8,0,0,-34184,H,9,USD,2014,00:00.0,200000960,4,17,,2000,X,20100028,1700104
300,2014,200000960,0L,2000,5,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,33914.48,33914.48,1578719.04,0,0,33914.48,S,9,USD,2014,00:00.0,200000960,5,7,,2000,X,20100028,1700104
300,2014,200000961,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,-63281.21,-63281.21,-4040505.53,0,0,-63281.21,H,9,USD,2014,00:00.0,200000961,1,17,,2000,X,20100028,1700105
300,2014,200000961,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225003,,,20002M05,,1000,1000,,,,,,,,,6328.12,6328.12,404050.73,0,0,6328.12,S,9,USD,2014,00:00.0,200000961,1,7,,2000,X,20100028,1700105
300,2014,200000961,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,66336.52,66336.52,4096279.98,0,0,66336.52,S,9,USD,2014,00:00.0,200000961,3,7,,2000,X,20100028,1700105
300,2014,200000961,0L,2000,5,RFBU,,USD,,BKPF,0,1,,225003,,,20002M05,,1000,1000,,,,,,,,,-6633.65,-6633.65,-409627.76,0,0,-6633.65,H,9,USD,2014,00:00.0,200000961,3,17,,2000,X,20100028,1700105
300,2014,200000961,0L,2000,6,RFBU,,USD,,BKPF,0,1,,225003,,,20002M01,,1000,1000,,,,,,,,,-204494.73,-204494.73,-12561544.98,0,0,-204494.73,H,9,USD,2014,00:00.0,200000961,4,17,,2000,X,20100028,1700105
300,2014,200000961,0L,2000,7,RFBU,,USD,,BKPF,0,1,,225003,,,20002M05,,1000,1000,,,,,,,,,20449.46,20449.46,1260410.7,0,0,20449.46,S,9,USD,2014,00:00.0,200000961,4,7,,2000,X,20100028,1700105
300,2014,200000962,0L,2000,1,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,-11989.05,-11989.05,-765500.9,0,0,-11989.05,H,9,USD,2014,00:00.0,200000962,1,17,,2000,X,20100028,1700381
300,2014,200000962,0L,2000,2,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,1798.36,1798.36,114825.34,0,0,1798.36,S,9,USD,2014,00:00.0,200000962,1,7,,2000,X,20100028,1700381
300,2014,200000962,0L,2000,4,RFBU,,USD,,BKPF,0,1,,225004,,,20002M01,,1000,1000,,,,,,,,,21944.16,21944.16,1355051.64,0,0,21944.16,S,9,USD,2014,00:00.0,200000962,3,7,,2000,X,20100028,1700381
300,2014,200000962,0L,2000,5,RFBU,,USD,,BKPF,0,1,,225004,,,20002M05,,1000,1000,,,,,,,,,-3291.62,-3291.62,-203257.29,0,0,-3291.62,H,9,USD,2014,00:00.0,200000962,3,17,,2000,X,20100028,1700381
